level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	32	1	12	2	914	326	21	39	0.000000	PuP
5	1	32	1	12	3	914	375	21	43	21.517420	TH
5	1	32	1	12	4	914	426	20	24	71.220863	39
5	1	32	1	12	5	913	458	25	75	30.589832	Jeune)
5	1	32	1	12	6	913	544	25	99	25.782824	savers
5	1	32	1	12	7	928	1060	24	58	1.470499	nee
5	1	32	1	12	8	897	1148	55	89	0.000000	see
5	1	32	1	12	9	887	1256	68	183	0.000000	‘g6-1219#55aN)
5	1	32	1	12	10	887	1450	68	101	24.337406	‘due
5	1	32	1	12	11	896	1571	17	12	89.054077	t
3	1	32	2	0	0	833	135	57	1451	-1	
4	1	32	2	1	0	865	135	25	1415	-1	
5	1	32	2	1	1	868	135	19	57	0.000000	MOJO
5	1	32	2	1	2	868	200	19	27	0.000000	YS}]
5	1	32	2	1	3	869	234	21	61	0.000000	SSeSId
5	1	32	2	1	4	868	304	19	75	12.612391	JayZOUR
5	1	32	2	1	5	873	387	14	37	43.264633	SUS
5	1	32	2	1	6	869	431	18	19	68.647408	OF
5	1	32	2	1	7	868	458	19	68	48.032669	Payeja
5	1	32	2	1	8	872	534	14	31	80.101982	Sue
5	1	32	2	1	9	868	573	17	48	31.273693	spiiq
5	1	32	2	1	10	868	627	17	16	40.772022	jy]
5	1	32	2	1	11	868	667	16	78	43.929626	uMouyuN
5	1	32	2	1	12	868	758	19	59	0.000000	Yoduy
5	1	32	2	1	13	868	823	16	78	0.000000	WMseuIOd
5	1	32	2	1	14	865	919	20	13	52.922997	g
5	1	32	2	1	15	865	955	20	58	39.564056	dW
5	1	32	2	1	16	865	1064	24	109	14.170732	poanboy
5	1	32	2	1	17	869	1181	16	27	34.520069	0
5	1	32	2	1	18	865	1257	23	56	82.796516	{pueg
5	1	32	2	1	19	865	1321	19	61	51.830120	pesop
5	1	32	2	1	20	869	1388	15	22	71.520775	30
5	1	32	2	1	21	869	1418	18	48	71.403557	uado
5	1	32	2	1	22	865	1472	22	78	27.363415	Ayoadg)
4	1	32	2	2	0	827	190	37	1396	-1	
5	1	32	2	2	1	838	190	21	151	0.000000	uoReuuojuT
